,Date,Heure,Mois,Jours,Prix
514,2024-07-22,10,July,Monday,56.18
515,2024-07-22,11,July,Monday,51.4
516,2024-07-22,12,July,Monday,51.39
517,2024-07-22,13,July,Monday,37.03
518,2024-07-22,14,July,Monday,23.18
519,2024-07-22,15,July,Monday,24.13
520,2024-07-22,16,July,Monday,41.89
521,2024-07-22,17,July,Monday,56.31
522,2024-07-22,18,July,Monday,62.27
523,2024-07-22,19,July,Monday,82.87
524,2024-07-22,20,July,Monday,88.79
525,2024-07-22,21,July,Monday,77.46
526,2024-07-22,22,July,Monday,100.59
527,2024-07-22,23,July,Monday,77.05
528,2024-07-23,0,July,Tuesday,76.67
529,2024-07-23,1,July,Tuesday,54.46
530,2024-07-23,2,July,Tuesday,44.61
531,2024-07-23,3,July,Tuesday,44.57
532,2024-07-23,4,July,Tuesday,38.32
533,2024-07-23,5,July,Tuesday,44.49
534,2024-07-23,6,July,Tuesday,52.2
535,2024-07-23,7,July,Tuesday,52.0
536,2024-07-23,8,July,Tuesday,72.69
537,2024-07-23,9,July,Tuesday,62.46
538,2024-07-23,10,July,Tuesday,48.68
539,2024-07-23,11,July,Tuesday,36.95
540,2024-07-23,12,July,Tuesday,7.36
541,2024-07-23,13,July,Tuesday,10.04
542,2024-07-23,14,July,Tuesday,9.37
543,2024-07-23,15,July,Tuesday,4.84
544,2024-07-23,16,July,Tuesday,19.82
545,2024-07-23,17,July,Tuesday,41.99
546,2024-07-23,18,July,Tuesday,84.32
547,2024-07-23,19,July,Tuesday,90.67
548,2024-07-23,20,July,Tuesday,105.11
549,2024-07-23,21,July,Tuesday,97.61
550,2024-07-23,22,July,Tuesday,102.05
551,2024-07-23,23,July,Tuesday,91.73
552,2024-07-24,0,July,Wednesday,83.05
553,2024-07-24,1,July,Wednesday,78.11
554,2024-07-24,2,July,Wednesday,73.95
555,2024-07-24,3,July,Wednesday,58.6
556,2024-07-24,4,July,Wednesday,56.04
557,2024-07-24,5,July,Wednesday,65.01
558,2024-07-24,6,July,Wednesday,72.0
559,2024-07-24,7,July,Wednesday,75.85
560,2024-07-24,8,July,Wednesday,99.8
561,2024-07-24,9,July,Wednesday,75.11
562,2024-07-24,10,July,Wednesday,57.1
563,2024-07-24,11,July,Wednesday,24.06
564,2024-07-24,12,July,Wednesday,6.16
565,2024-07-24,13,July,Wednesday,3.35
566,2024-07-24,14,July,Wednesday,0.01
567,2024-07-24,15,July,Wednesday,5.5
568,2024-07-24,16,July,Wednesday,12.8
569,2024-07-24,17,July,Wednesday,47.14
